Format,Matches,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s,Name
ODI,56,55,1,1506,113,27.89,2298,65.54,1,0,12,180,10,Ravi Shah
ODI,60,46,7,506,67,12.97,977,51.79,0,0,1,46,3,Tony Suji
T20I,8,5,2,15,7,5.0,29,51.72,0,0,0,0,0,Tony Suji
Test,101,176,9,6453,302,38.64,9989,64.6,12,4,31,776,107,Brendon McCullum
ODI,260,228,28,6083,166,30.41,6312,96.37,5,0,32,577,200,Brendon McCullum
T20I,71,70,10,2140,123,35.67,1571,136.22,2,0,13,199,91,Brendon McCullum
IPL,109,109,5,2880,158,27.69,2186,131.75,2,0,13,293,130,Brendon McCullum
Test,8,16,1,246,86,16.4,696,35.34,0,0,2,37,0,Michael Papps
ODI,6,6,1,207,92,41.4,342,60.53,0,0,2,24,0,Michael Papps
Test,26,36,10,427,80,16.42,1004,42.53,0,0,1,46,4,Daryl Tuffey
ODI,94,52,21,295,36,9.52,372,79.3,0,0,0,23,7,Daryl Tuffey
T20I,3,2,1,5,5,5.0,5,100.0,0,0,0,1,0,Daryl Tuffey
Test,113,174,23,4531,140,30.01,7787,58.19,6,0,23,557,17,Daniel Vettori
ODI,295,187,57,2253,83,17.33,2715,82.98,0,0,4,175,15,Daniel Vettori
T20I,34,22,6,205,38,12.81,190,107.89,0,0,0,14,2,Daniel Vettori
IPL,34,15,7,90,29,11.25,90,100.0,0,0,0,7,2,Daniel Vettori
Test,21,34,4,900,136,30.0,1772,50.79,3,0,1,113,5,Azhar Mahmood
ODI,143,110,26,1521,67,18.11,1988,76.51,0,0,3,119,24,Azhar Mahmood
IPL,23,21,2,388,80,20.42,303,128.05,0,0,2,39,13,Azhar Mahmood
Test,117,205,11,9265,277,47.76,15525,59.68,27,5,38,1165,24,Graeme Smith
ODI,197,194,9,6989,141,37.78,8648,80.82,10,0,47,789,44,Graeme Smith
T20I,33,33,2,982,89,31.68,770,127.53,0,0,5,123,26,Graeme Smith
IPL,29,29,3,739,91,28.42,668,110.63,0,0,4,94,9,Graeme Smith
Test,147,206,24,5515,125,30.3,11005,50.11,5,0,35,655,20,Mark Boucher
ODI,295,221,57,4686,147,28.57,5528,84.77,1,0,26,356,83,Mark Boucher
T20I,25,21,6,268,36,17.87,275,97.45,0,0,0,22,2,Mark Boucher
IPL,31,24,10,394,50,28.14,309,127.51,0,0,1,32,13,Mark Boucher
Test,43,62,10,1312,85,25.23,2715,48.32,0,0,4,184,6,Nicky Boje
ODI,115,71,18,1414,129,26.68,1594,88.71,2,0,4,135,13,Nicky Boje
T20I,1,0,0,0,-,-,0,-,0,0,0,0,0,Nicky Boje
Test,90,154,6,6167,228,41.67,12270,50.26,14,2,26,887,47,Herschelle Gibbs
ODI,248,240,14,8094,175,35.81,9721,83.26,21,0,37,930,128,Herschelle Gibbs
T20I,23,23,1,400,90,18.18,318,125.79,0,0,3,45,12,Herschelle Gibbs
IPL,36,36,4,886,69,27.69,807,109.79,0,0,6,83,31,Herschelle Gibbs
Test,166,280,40,13289,224,55.37,28903,45.98,45,2,58,1488,97,Jacques Kallis
ODI,328,314,53,11579,139,44.36,15885,72.89,17,0,86,911,137,Jacques Kallis
T20I,25,23,4,666,73,35.05,558,119.35,0,0,5,56,20,Jacques Kallis
IPL,98,96,11,2427,89,28.55,2222,109.23,0,0,17,255,44,Jacques Kallis
Test,6,4,2,16,10,8.0,52,30.77,0,0,0,3,0,Charl Langeveldt
ODI,72,21,10,73,12,6.64,124,58.87,0,0,0,8,0,Charl Langeveldt
T20I,9,3,2,4,2,4.0,8,50.0,0,0,0,0,0,Charl Langeveldt
IPL,7,2,0,8,8,4.0,9,88.89,0,0,0,0,1,Charl Langeveldt
Test,101,116,45,699,32,9.85,1439,48.58,0,0,0,104,8,Makhaya Ntini
ODI,173,47,24,199,42,8.65,298,66.78,0,0,0,16,6,Makhaya Ntini
T20I,10,4,2,10,5,5.0,11,90.91,0,0,0,2,0,Makhaya Ntini
IPL,9,2,1,11,11,11.0,18,61.11,0,0,0,2,0,Makhaya Ntini
Test,108,156,39,3781,111,32.32,7198,52.53,2,0,16,412,35,Shaun Pollock
ODI,303,205,72,3519,130,26.46,4059,86.7,1,0,14,248,58,Shaun Pollock
T20I,12,9,2,86,36,12.29,70,122.86,0,0,0,4,4,Shaun Pollock
IPL,13,8,0,147,33,18.38,111,132.43,0,0,0,12,8,Shaun Pollock
Test,48,83,9,2622,222,35.43,5984,43.82,6,1,11,362,7,Jacques Rudolph
ODI,45,39,6,1174,81,35.58,1725,68.06,0,0,7,109,5,Jacques Rudolph
T20I,1,1,1,6,6,0.0,7,85.71,0,0,0,0,0,Jacques Rudolph
Test,36,42,8,337,34,9.91,731,46.1,0,0,0,40,5,Andre Nel
ODI,79,22,12,127,30,12.7,166,76.51,0,0,0,14,3,Andre Nel
T20I,2,1,1,0,0,0.0,2,0.0,0,0,0,0,0,Andre Nel
IPL,1,1,0,0,0,0.0,0,0.0,0,0,0,0,0,Andre Nel
Test,40,47,17,249,39,8.3,709,35.12,0,0,0,30,1,Dilhara Fernando
ODI,147,61,35,239,20,9.19,392,60.97,0,0,0,19,2,Dilhara Fernando
T20I,18,7,2,25,21,5.0,27,92.59,0,0,0,4,0,Dilhara Fernando
IPL,10,2,2,4,2,0.0,3,133.33,0,0,0,0,0,Dilhara Fernando
Test,4,5,1,94,28,23.5,162,58.02,0,0,0,14,1,Kaushal Lokuarachchi
ODI,21,18,3,210,69,14.0,262,80.15,0,0,1,9,5,Kaushal Lokuarachchi
T20I,2,2,0,11,11,5.5,13,84.62,0,0,0,1,0,Kaushal Lokuarachchi
Test,131,232,6,11953,400,52.89,19753,60.51,34,9,48,1559,88,Brian Lara
ODI,299,289,30,10405,169,40.17,13086,79.51,19,0,63,1035,133,Brian Lara
Test,5,8,1,96,33,13.71,356,26.97,0,0,0,11,0,Ian Bradshaw
ODI,62,34,11,287,37,12.48,480,59.79,0,0,0,18,4,Ian Bradshaw
T20I,1,1,1,0,0,0.0,0,0.0,0,0,0,0,0,Ian Bradshaw
Test,40,71,1,2200,113,31.43,4527,48.6,3,0,13,269,21,Dwayne Bravo
ODI,164,141,24,2968,112,25.37,3606,82.31,2,0,10,240,58,Dwayne Bravo
T20I,91,74,17,1255,66,22.02,1090,115.14,0,0,4,73,55,Dwayne Bravo
IPL,161,113,44,1560,70,22.61,1204,129.57,0,0,5,121,66,Dwayne Bravo
Test,164,280,49,11867,203,51.37,27395,43.32,30,2,66,1285,36,Shivnarine Chanderpaul
ODI,268,251,39,8778,150,41.41,12408,70.74,11,0,59,722,85,Shivnarine Chanderpaul
T20I,22,22,5,343,41,20.18,347,98.85,0,0,0,34,5,Shivnarine Chanderpaul
IPL,3,3,0,25,16,8.33,31,80.65,0,0,0,4,0,Shivnarine Chanderpaul
Test,30,52,27,197,16,7.88,642,30.69,0,0,0,19,0,Corey Collymore
ODI,84,35,17,104,13,5.78,261,39.85,0,0,0,5,2,Corey Collymore
Test,103,182,11,7215,333,42.19,11970,60.28,15,3,37,1046,98,Chris Gayle
ODI,301,294,16,10480,215,37.7,12019,87.2,25,1,54,1128,331,Chris Gayle
T20I,79,75,7,1899,117,27.93,1381,137.51,2,0,14,158,124,Chris Gayle
IPL,142,141,16,4965,175,39.72,3333,148.96,6,0,31,405,357,Chris Gayle
