Format,Matches,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s,Name
T20I,3,2,0,69,39,34.5,47,146.81,0,0,0,8,2,Simon Katich
IPL,11,11,1,241,75,24.1,186,129.57,0,0,2,25,8,Simon Katich
Test,105,182,10,7696,250,44.74,14192,54.23,23,3,30,912,40,Justin Langer
ODI,8,7,2,160,36,32.0,180,88.89,0,0,0,13,4,Justin Langer
Test,4,7,2,146,46,29.2,330,44.24,0,0,0,15,1,Cameron White
ODI,91,77,16,2072,105,33.97,2586,80.12,2,0,11,145,45,Cameron White
T20I,47,44,14,984,85,32.8,740,132.97,0,0,5,71,44,Cameron White
IPL,47,45,9,954,78,26.5,755,126.36,0,0,6,76,36,Cameron White
Test,6,11,2,503,203,55.89,965,52.12,1,1,2,60,1,Brad Hodge
ODI,25,21,2,575,123,30.26,657,87.52,1,0,3,51,12,Brad Hodge
T20I,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7,Brad Hodge
IPL,66,63,21,1400,73,33.33,1118,125.22,0,0,6,122,43,Brad Hodge
Test,8,10,1,88,43,9.78,231,38.1,0,0,0,11,0,Murali Kartik
ODI,37,14,5,126,32,14.0,178,70.79,0,0,0,10,1,Murali Kartik
T20I,1,0,0,0,-,-,0,-,0,0,0,0,0,Murali Kartik
IPL,56,16,9,113,21,16.14,108,104.63,0,0,0,7,1,Murali Kartik
Test,12,20,1,717,99,37.74,1518,47.23,0,0,8,104,6,Asim Kamal
Test,1,2,0,88,88,44.0,201,43.78,0,0,1,15,0,Zulqarnain Haider
ODI,4,4,2,48,19,24.0,68,70.59,0,0,0,3,0,Zulqarnain Haider
T20I,3,3,0,23,17,7.67,30,76.67,0,0,0,1,0,Zulqarnain Haider
Test,13,23,1,385,49,17.5,885,43.5,0,0,0,50,3,Jehan Mubarak
ODI,40,37,6,704,72,22.71,1115,63.14,0,0,4,62,5,Jehan Mubarak
T20I,16,15,4,238,46,21.64,188,126.6,0,0,0,21,8,Jehan Mubarak
Test,81,132,20,5462,231,48.77,11641,46.92,14,2,30,633,7,Thilan Samaraweera
ODI,53,42,11,862,105,27.81,1244,69.29,2,0,0,76,0,Thilan Samaraweera
Test,58,104,5,4154,206,41.96,8067,51.49,9,1,22,517,10,Gautam Gambhir
ODI,147,143,11,5238,150,39.68,6144,85.25,11,0,34,561,17,Gautam Gambhir
T20I,37,36,2,932,75,27.41,783,119.03,0,0,7,109,10,Gautam Gambhir
IPL,154,152,16,4218,93,31.01,3404,123.91,0,0,36,491,59,Gautam Gambhir
Test,38,62,5,1718,177,30.14,4128,41.62,3,0,7,237,5,Boeta Dippenaar
ODI,107,95,14,3421,125,42.23,5047,67.78,4,0,26,334,16,Boeta Dippenaar
T20I,1,1,0,1,1,1.0,5,20.0,0,0,0,0,0,Boeta Dippenaar
Test,124,215,15,9282,311,46.41,18574,49.97,28,4,41,1170,14,Hashim Amla
ODI,181,178,14,8113,159,49.47,9179,88.39,27,0,39,823,53,Hashim Amla
T20I,44,44,6,1277,97,33.61,967,132.06,0,0,8,146,26,Hashim Amla
IPL,16,16,3,577,104,44.38,407,141.77,2,0,3,60,21,Hashim Amla
Test,21,33,4,760,163,26.21,1650,46.06,1,0,3,96,4,Andrew Hall
ODI,88,56,13,905,81,21.05,1206,75.04,0,0,3,90,10,Andrew Hall
T20I,2,1,0,11,11,11.0,10,110.0,0,0,0,1,0,Andrew Hall
Test,2,4,1,57,32,19.0,155,36.77,0,0,0,8,0,Justin Ontong
ODI,28,16,2,184,32,13.14,267,68.91,0,0,0,18,1,Justin Ontong
T20I,14,10,0,158,48,15.8,109,144.95,0,0,0,6,11,Justin Ontong
Test,15,20,3,464,84,27.29,649,71.49,0,0,3,61,2,Robin Peterson
ODI,79,41,14,556,68,20.59,688,80.81,0,0,1,51,5,Robin Peterson
T20I,21,12,4,124,34,15.5,113,109.73,0,0,0,13,2,Robin Peterson
IPL,5,5,2,32,16,10.67,30,106.67,0,0,0,3,1,Robin Peterson
T20I,1,0,0,0,-,-,0,-,0,0,0,0,0,Alfonso Thomas
IPL,15,4,2,20,12,10.0,19,105.26,0,0,0,1,1,Alfonso Thomas
Test,1,2,0,18,11,9.0,20,90.0,0,0,0,3,0,Andre Adams
ODI,42,34,10,419,45,17.46,417,100.48,0,0,0,31,18,Andre Adams
T20I,4,2,1,13,7,13.0,12,108.33,0,0,0,1,0,Andre Adams
Test,36,67,5,797,79,12.85,1186,67.2,0,0,3,95,22,Mashrafe Mortaza
ODI,220,158,28,1787,51,13.75,2041,87.56,0,0,1,149,62,Mashrafe Mortaza
T20I,54,39,11,377,36,13.46,278,135.61,0,0,0,28,23,Mashrafe Mortaza
IPL,1,1,1,2,2,0.0,2,100.0,0,0,0,0,0,Mashrafe Mortaza
Test,23,38,13,141,29,5.64,463,30.45,0,0,0,19,0,Mohammad Asif
ODI,38,16,7,34,6,3.78,100,34.0,0,0,0,2,0,Mohammad Asif
T20I,11,3,3,9,5,0.0,3,300.0,0,0,0,2,0,Mohammad Asif
IPL,8,2,0,3,3,1.5,6,50.0,0,0,0,0,0,Mohammad Asif
Test,71,127,7,3917,260,32.64,8219,47.66,7,1,24,537,32,Marlon Samuels
ODI,207,196,26,5606,133,32.98,7463,75.12,10,0,30,526,118,Marlon Samuels
T20I,67,65,10,1611,89,29.29,1386,116.23,0,0,10,144,69,Marlon Samuels
IPL,15,14,1,161,46,12.38,172,93.6,0,0,0,9,7,Marlon Samuels
Test,32,47,7,235,24,5.88,701,33.52,0,0,0,30,0,Pedro Collins
ODI,30,12,5,30,10,4.29,50,60.0,0,0,0,1,0,Pedro Collins
Test,7,12,0,243,85,20.25,488,49.8,0,0,2,37,2,Xavier Marshall
ODI,37,37,3,596,157,17.53,901,66.15,1,0,1,59,17,Xavier Marshall
T20I,20,18,1,300,47,17.65,290,103.45,0,0,0,26,9,Xavier Marshall
Test,55,105,8,3652,224,37.65,6520,56.01,10,1,12,455,28,Mohammad Hafeez
ODI,218,216,15,6614,140,32.91,8634,76.6,11,0,38,664,110,Mohammad Hafeez
T20I,119,108,13,2514,99,26.46,2060,122.04,0,0,14,251,76,Mohammad Hafeez
IPL,8,8,1,64,16,9.14,83,77.11,0,0,0,7,2,Mohammad Hafeez
ODI,84,61,8,1326,63,25.02,1415,93.71,0,0,3,123,6,James Hopes
T20I,12,7,2,105,30,21.0,98,107.14,0,0,0,7,1,James Hopes
IPL,21,19,3,417,71,26.06,306,136.27,0,0,4,49,11,James Hopes
Test,7,11,0,218,52,19.82,558,39.07,0,0,1,29,0,James Marshall
ODI,10,10,0,250,161,25.0,313,79.87,1,0,1,19,4,James Marshall
T20I,3,2,0,14,13,7.0,15,93.33,0,0,0,2,0,James Marshall
Test,11,19,1,441,74,24.5,1265,34.86,0,0,1,56,2,Craig Cumming
ODI,13,13,1,161,45,13.42,301,53.49,0,0,0,20,0,Craig Cumming
Test,9,8,2,31,9,5.17,168,18.45,0,0,0,3,0,Arshad Khan
ODI,58,29,18,133,20,12.09,217,61.29,0,0,0,6,1,Arshad Khan
Test,114,191,18,8765,278,50.66,16076,54.52,22,2,46,1024,64,AB de Villiers
ODI,228,218,39,9577,176,53.5,9473,101.1,25,0,53,840,204,AB de Villiers
T20I,78,75,11,1672,79,26.12,1237,135.17,0,0,10,140,60,AB de Villiers
IPL,184,170,40,5162,133,39.71,3403,151.69,3,0,40,413,251,AB de Villiers
Test,66,104,16,3665,162,41.65,8385,43.71,11,0,11,397,13,Ashwell Prince
ODI,52,41,12,1018,89,35.1,1502,67.78,0,0,3,77,4,Ashwell Prince
T20I,1,1,0,5,5,5.0,6,83.33,0,0,0,0,0,Ashwell Prince
Test,6,5,0,82,59,16.4,226,36.28,0,0,1,12,0,Monde Zondeki
ODI,13,3,2,4,3,4.0,5,80.0,0,0,0,0,0,Monde Zondeki
T20I,1,1,0,0,0,0.0,1,0.0,0,0,0,0,0,Monde Zondeki
Test,43,76,2,1760,108,23.78,3834,45.91,1,0,8,246,1,Devon Smith
ODI,47,45,2,1059,107,24.63,1506,70.32,1,0,5,110,9,Devon Smith
T20I,6,6,0,203,61,33.83,161,126.09,0,0,2,22,5,Devon Smith
Test,18,30,2,725,82,25.89,1728,41.96,0,0,5,78,7,Narsingh Deonarine
ODI,31,29,3,682,65,26.23,989,68.96,0,0,4,57,9,Narsingh Deonarine
T20I,8,7,2,55,36,11.0,53,103.77,0,0,0,5,0,Narsingh Deonarine
Test,48,86,2,2160,135,25.71,5556,38.88,3,0,9,284,2,Daren Ganga
ODI,35,34,1,843,71,25.55,1414,59.62,0,0,9,69,7,Daren Ganga
T20I,1,1,0,26,26,26.0,31,83.87,0,0,0,3,1,Daren Ganga
Test,37,57,5,407,36,7.83,1141,35.67,0,0,0,50,4,Daren Powell
ODI,55,25,3,118,48,5.36,164,71.95,0,0,0,4,5,Daren Powell
T20I,5,1,1,1,1,0.0,1,100.0,0,0,0,0,0,Daren Powell
Test,46,73,7,856,106,12.97,1368,62.57,1,0,1,116,19,Jerome Taylor
ODI,90,42,9,278,43,8.42,323,86.07,0,0,0,31,5,Jerome Taylor
T20I,30,15,6,118,21,13.11,92,128.26,0,0,0,10,6,Jerome Taylor
IPL,5,2,1,3,2,3.0,3,100.0,0,0,0,0,0,Jerome Taylor
Test,15,19,3,194,40,12.12,418,46.41,0,0,0,22,2,Shahid Nazir
ODI,17,8,7,25,8,25.0,43,58.14,0,0,0,3,0,Shahid Nazir
Test,55,88,28,394,30,6.57,1397,28.2,0,0,0,48,2,Fidel Edwards
ODI,50,22,14,73,13,9.12,160,45.62,0,0,0,5,0,Fidel Edwards
T20I,26,6,4,11,7,5.5,14,78.57,0,0,0,1,0,Fidel Edwards
IPL,6,2,1,4,3,4.0,5,80.0,0,0,0,0,0,Fidel Edwards
Test,25,38,6,401,95,12.53,706,56.8,0,0,1,52,5,Tino Best
ODI,26,16,8,76,24,9.5,125,60.8,0,0,0,7,0,Tino Best
T20I,6,1,1,17,17,0.0,9,188.89,0,0,0,0,2,Tino Best
Test,15,27,1,573,70,22.04,1192,48.07,0,0,4,79,7,Runako Morton
ODI,56,51,6,1519,110,33.76,2289,66.36,2,0,10,123,15,Runako Morton
T20I,7,7,1,96,40,16.0,103,93.2,0,0,0,8,2,Runako Morton
Test,118,205,24,7727,235,42.69,15622,49.46,22,1,46,918,39,Ian Bell
ODI,161,157,14,5416,141,37.87,7019,77.16,4,0,35,525,32,Ian Bell
T20I,8,8,1,188,60,26.86,163,115.34,0,0,1,23,2,Ian Bell
Test,67,92,27,473,38,7.28,2090,22.63,0,0,0,42,0,Matthew Hoggard
ODI,26,6,2,17,7,4.25,30,56.67,0,0,0,0,0,Matthew Hoggard
Test,1,2,0,27,20,13.5,45,60.0,0,0,0,5,0,Jon Lewis
ODI,13,8,2,50,17,8.33,63,79.37,0,0,0,4,0,Jon Lewis
T20I,2,2,1,1,1,1.0,4,25.0,0,0,0,0,0,Jon Lewis
Test,15,26,16,59,13,5.9,271,21.77,0,0,0,7,0,Enamul Haque jnr
ODI,10,5,1,12,5,3.0,19,63.16,0,0,0,0,0,Enamul Haque jnr
Test,38,69,17,521,40,10.02,1134,45.94,0,0,0,69,6,Shahadat Hossain
ODI,51,27,17,79,16,7.9,151,52.32,0,0,0,7,1,Shahadat Hossain
T20I,6,5,3,8,4,4.0,12,66.67,0,0,0,0,0,Shahadat Hossain
Test,24,48,0,1267,138,26.4,2268,55.86,1,0,7,189,1,Shahriar Nafees
ODI,75,75,5,2201,123,31.44,3167,69.5,4,0,13,277,7,Shahriar Nafees
T20I,1,1,0,25,25,25.0,17,147.06,0,0,0,3,1,Shahriar Nafees
Test,92,170,14,5961,219,38.21,12329,48.35,11,3,27,708,36,Mushfiqur Rahim
ODI,271,253,41,7792,144,36.75,9771,79.75,9,0,49,617,100,Mushfiqur Rahim
T20I,102,93,15,1500,72,19.23,1305,114.94,0,0,6,126,37,Mushfiqur Rahim
Test,104,181,8,8181,227,47.29,13255,61.72,23,3,35,985,81,Kevin Pietersen
ODI,136,125,16,4440,130,40.73,5128,86.58,9,0,25,427,77,Kevin Pietersen
T20I,37,36,5,1176,79,37.94,831,141.52,0,0,7,119,32,Kevin Pietersen
IPL,36,36,8,1001,103,35.75,743,134.72,1,0,4,91,40,Kevin Pietersen
Test,5,10,0,89,28,8.9,263,33.84,0,0,0,12,0,Tushar Imran
ODI,41,40,0,574,65,14.35,970,59.18,0,0,2,67,1,Tushar Imran
Test,12,15,4,113,25,10.27,299,37.79,0,0,0,12,0,Chris Tremlett
ODI,15,11,4,50,19,7.14,89,56.18,0,0,0,2,2,Chris Tremlett
T20I,1,0,0,0,-,-,0,-,0,0,0,0,0,Chris Tremlett
Test,74,126,14,2898,166,25.88,5945,48.75,4,0,15,376,6,Denesh Ramdin
ODI,139,110,22,2200,169,25.0,2738,80.35,2,0,8,165,31,Denesh Ramdin
T20I,71,50,16,636,55,18.71,551,115.43,0,0,1,51,19,Denesh Ramdin
Test,10,16,4,318,50,26.5,817,38.92,0,0,1,42,2,Omari Banks
ODI,5,5,0,83,33,16.6,149,55.7,0,0,0,3,2,Omari Banks
ODI,5,4,3,25,13,25.0,34,73.53,0,0,0,4,0,Deighton Butler
T20I,1,0,0,0,-,-,0,-,0,0,0,0,0,Deighton Butler
Test,2,3,0,38,14,12.67,93,40.86,0,0,0,4,0,Gayan Wijekoon
T20I,3,2,1,1,1,1.0,5,20.0,0,0,0,0,0,Gayan Wijekoon
Test,44,69,4,1821,123,28.02,4084,44.59,3,0,10,222,3,Russel Arnold
ODI,180,155,43,3950,103,35.27,5443,72.57,1,0,28,284,21,Russel Arnold
T20I,1,1,0,7,7,7.0,7,100.0,0,0,0,0,0,Russel Arnold
Test,3,5,2,20,8,6.67,46,43.48,0,0,0,4,0,Shaun Tait
ODI,35,7,5,25,11,12.5,29,86.21,0,0,0,3,1,Shaun Tait
T20I,21,6,2,11,6,2.75,15,73.33,0,0,0,0,1,Shaun Tait
IPL,21,5,2,23,11,7.67,26,88.46,0,0,0,1,1,Shaun Tait
ODI,16,11,2,218,61,24.22,363,60.06,0,0,1,16,3,Venugopal Rao
IPL,65,54,10,985,71,22.39,836,117.82,0,0,3,77,37,Venugopal Rao
Test,18,31,2,768,120,26.48,1445,53.15,1,0,7,100,4,Suresh Raina
ODI,226,194,35,5615,116,35.31,6005,93.51,5,0,36,476,120,Suresh Raina
T20I,78,66,11,1604,101,29.16,1190,134.79,1,0,5,145,58,Suresh Raina
IPL,205,200,30,5528,100,32.52,4043,136.73,1,0,39,506,203,Suresh Raina
Test,31,58,3,1754,165,31.89,3212,54.61,3,0,8,239,9,Upul Tharanga
ODI,235,223,17,6951,174,33.74,9155,75.93,15,0,37,799,52,Upul Tharanga
T20I,26,26,1,407,47,16.28,330,123.33,0,0,0,42,12,Upul Tharanga
ODI,9,9,0,83,29,9.22,107,77.57,0,0,0,8,4,Dilhara Lokuhettige
T20I,2,1,1,18,18,0.0,9,200.0,0,0,0,0,1,Dilhara Lokuhettige
Test,23,40,1,1332,224,34.15,2827,47.12,3,1,9,161,12,Lou Vincent
ODI,102,99,10,2413,172,27.11,3453,69.88,3,0,11,222,37,Lou Vincent
T20I,9,9,0,174,42,19.33,174,100.0,0,0,0,17,3,Lou Vincent
Test,18,20,7,168,41,12.92,432,38.89,0,0,0,20,4,Shane Bond
ODI,82,40,22,292,31,16.22,384,76.04,0,0,0,19,9,Shane Bond
T20I,20,8,3,21,8,4.2,21,100.0,0,0,0,2,0,Shane Bond
IPL,8,1,0,1,1,1.0,2,50.0,0,0,0,0,0,Shane Bond
Test,31,46,7,808,122,20.72,2163,37.36,1,0,2,82,5,James Franklin
ODI,110,80,27,1270,98,23.96,1651,76.92,0,0,4,97,17,James Franklin
T20I,38,31,8,463,60,20.13,391,118.41,0,0,2,28,23,James Franklin
IPL,20,16,5,327,79,29.73,301,108.64,0,0,1,25,9,James Franklin
Test,71,104,52,123,12,2.37,615,20.0,0,0,0,15,0,Chris Martin
ODI,20,7,2,8,3,1.6,27,29.63,0,0,0,0,0,Chris Martin
T20I,6,1,1,5,5,0.0,6,83.33,0,0,0,0,0,Chris Martin
Test,38,76,2,2222,158,30.03,5008,44.37,5,0,8,265,23,Hamilton Masakadza
ODI,209,208,4,5658,178,27.74,7728,73.21,5,0,34,585,86,Hamilton Masakadza
T20I,65,65,2,1600,93,25.4,1376,116.28,0,0,10,148,61,Hamilton Masakadza
Test,10,17,6,147,50,13.36,346,42.49,0,0,1,21,2,Blessing Mahwire
ODI,23,19,8,117,22,10.64,249,46.99,0,0,0,5,2,Blessing Mahwire
Test,15,28,10,105,33,5.83,249,42.17,0,0,0,7,5,Chris Mpofu
ODI,84,41,21,57,9,2.85,210,27.14,0,0,0,1,0,Chris Mpofu
T20I,32,11,7,35,17,8.75,43,81.4,0,0,0,3,1,Chris Mpofu
Test,3,6,0,90,35,15.0,140,64.29,0,0,0,14,2,Keith Dabengwa
ODI,37,34,7,514,45,19.04,851,60.4,0,0,0,32,8,Keith Dabengwa
T20I,8,7,3,51,16,12.75,44,115.91,0,0,0,5,2,Keith Dabengwa
ODI,26,13,5,30,8,3.75,101,29.7,0,0,0,2,0,Anthony Ireland
T20I,1,1,1,2,2,0.0,3,66.67,0,0,0,0,0,Anthony Ireland
Test,24,26,7,248,39,13.05,354,70.06,0,0,0,21,6,Stuart Clark
ODI,39,12,7,69,16,13.8,88,78.41,0,0,0,6,1,Stuart Clark
T20I,9,0,0,0,-,-,0,-,0,0,0,0,0,Stuart Clark
Test,6,12,4,37,19,4.62,95,38.95,0,0,0,6,0,Syed Rasel
ODI,52,27,11,81,15,5.06,185,43.78,0,0,0,7,0,Syed Rasel
T20I,8,3,1,7,6,3.5,9,77.78,0,0,0,1,0,Syed Rasel
Test,14,19,3,116,30,7.25,276,42.03,0,0,0,16,1,RP Singh
ODI,58,20,10,104,23,10.4,242,42.98,0,0,0,5,1,RP Singh
T20I,10,2,2,3,2,0.0,3,100.0,0,0,0,0,0,RP Singh
IPL,82,30,15,52,10,3.47,76,68.42,0,0,0,2,1,RP Singh
Test,24,38,8,381,47,12.7,738,51.63,0,0,0,44,3,Jeetan Patel
ODI,43,15,8,95,34,13.57,162,58.64,0,0,0,5,2,Jeetan Patel
T20I,11,4,1,9,5,3.0,14,64.29,0,0,0,1,0,Jeetan Patel
Test,5,10,0,175,60,17.5,450,38.89,0,0,1,25,0,Chamu Chibhabha
ODI,109,108,2,2456,99,23.17,3880,63.3,0,0,16,237,14,Chamu Chibhabha
T20I,36,35,0,667,67,19.06,610,109.34,0,0,5,78,13,Chamu Chibhabha
Test,15,29,2,1109,151,41.07,1957,56.67,4,0,3,126,7,Sean Williams
ODI,156,151,20,4986,174,38.06,5751,86.7,8,0,35,447,57,Sean Williams
T20I,81,80,8,1691,66,23.49,1338,126.38,0,0,11,161,42,Sean Williams
Test,2,4,0,80,56,20.0,179,44.69,0,0,1,12,0,Terry Duffin
ODI,23,23,0,546,88,23.74,993,54.98,0,0,3,57,0,Terry Duffin
Test,5,6,2,70,37,17.5,112,62.5,0,0,0,7,0,Nathan Bracken
ODI,116,35,18,199,21,11.71,282,70.57,0,0,0,10,5,Nathan Bracken
T20I,19,6,3,15,4,5.0,22,68.18,0,0,0,1,0,Nathan Bracken
IPL,9,8,0,145,54,18.12,109,133.03,0,0,1,21,3,Vidyut Sivaramakrishnan
Test,5,6,2,47,29,11.75,42,111.9,0,0,0,9,0,Vikram Singh
ODI,2,1,0,8,8,8.0,13,61.54,0,0,0,1,0,Vikram Singh
IPL,19,2,0,4,4,2.0,3,133.33,0,0,0,1,0,Vikram Singh
Test,27,40,13,281,35,10.41,539,52.13,0,0,0,38,4,S Sreesanth
ODI,53,21,10,44,10,4.0,121,36.36,0,0,0,2,0,S Sreesanth
T20I,10,3,2,20,19,20.0,14,142.86,0,0,0,4,0,S Sreesanth
IPL,44,14,10,34,15,8.5,55,61.82,0,0,0,6,0,S Sreesanth
Test,3,3,0,6,4,2.0,23,26.09,0,0,0,1,0,Piyush Chawla
ODI,25,12,5,38,13,5.43,58,65.52,0,0,0,3,0,Piyush Chawla
T20I,7,1,0,0,0,0.0,1,0.0,0,0,0,0,0,Piyush Chawla
IPL,192,92,36,624,24,11.14,563,110.83,0,0,0,56,20,Piyush Chawla
Test,13,20,5,238,55,15.87,509,46.76,0,0,1,31,0,Liam Plunkett
ODI,89,50,19,646,56,20.84,629,102.7,0,0,1,53,18,Liam Plunkett
T20I,22,11,4,42,18,6.0,34,123.53,0,0,0,3,1,Liam Plunkett
IPL,7,2,1,1,1,1.0,3,33.33,0,0,0,0,0,Liam Plunkett
ODI,1,1,0,0,0,0.0,0,0.0,0,0,0,0,0,Alex Loudon
Test,4,7,1,109,33,18.17,214,50.93,0,0,0,14,1,Shaun Udal
ODI,11,7,4,35,11,11.67,46,76.09,0,0,0,1,0,Shaun Udal
Test,1,1,0,58,58,58.0,71,81.69,0,0,1,10,1,Albie Morkel
ODI,58,43,10,782,97,23.7,780,100.26,0,0,2,71,25,Albie Morkel
T20I,50,38,11,572,43,21.19,402,142.29,0,0,0,29,39,Albie Morkel
IPL,91,68,28,974,73,24.35,686,141.98,0,0,3,61,55,Albie Morkel
Test,5,6,2,83,25,20.75,238,34.87,0,0,0,9,0,Johan Botha
ODI,78,50,18,609,46,19.03,710,85.77,0,0,0,56,3,Johan Botha
T20I,40,20,9,201,34,18.27,165,121.82,0,0,0,15,9,Johan Botha
IPL,34,28,8,409,67,20.45,359,113.93,0,0,1,39,5,Johan Botha
Test,161,291,16,12472,294,45.35,26562,46.95,33,5,57,1441,11,Sir Alastair Cook
ODI,92,92,4,3204,137,36.41,4154,77.13,5,0,19,363,10,Sir Alastair Cook
T20I,4,4,0,61,26,15.25,54,112.96,0,0,0,10,0,Sir Alastair Cook
ODI,1,1,0,0,0,0.0,5,0.0,0,0,0,0,0,Andrew Puttick
